month,total_international_visitor_arrivals
1978-01,167016
1978-02,147954
1978-03,163199
1978-04,162400
1978-05,162667
1978-06,149896
1978-07,175968
1978-08,201355
1978-09,167980
1978-10,177639
1978-11,181463
1978-12,189687
1979-01,179788
1979-02,160618
1979-03,176654
1979-04,179714
1979-05,175055
1979-06,177746
1979-07,200664
1979-08,214021
1979-09,179596
1979-10,194919
1979-11,198778
1979-12,209538
1980-01,201100
1980-02,189235
1980-03,204710
1980-04,198860
1980-05,204398
1980-06,195567
1980-07,227464
1980-08,247926
1980-09,199252
1980-10,220704
1980-11,224756
1980-12,248113
1981-01,227549
1981-02,215701
1981-03,225654
1981-04,226025
1981-05,220442
1981-06,225874
1981-07,255314
1981-08,275950
1981-09,207056
1981-10,240681
1981-11,245404
1981-12,263249
1982-01,239088
1982-02,225008
1982-03,235113
1982-04,225827
1982-05,232737
1982-06,243955
1982-07,277968
1982-08,281354
1982-09,232006
1982-10,251613
1982-11,257389
1982-12,254632
1983-01,232164
1983-02,212591
1983-03,242272
1983-04,226610
1983-05,236720
1983-06,227843
1983-07,249891
1983-08,263236
1983-09,230076
1983-10,240012
1983-11,237223
1983-12,254939
1984-01,233863
1984-02,221968
1984-03,239414
1984-04,245480
1984-05,248953
1984-06,240184
1984-07,261402
1984-08,282186
1984-09,239438
1984-10,257737
1984-11,248137
1984-12,272668
1985-01,248446
1985-02,230830
1985-03,262117
1985-04,237011
1985-05,244179
1985-06,247225
1985-07,264253
1985-08,279252
1985-09,240007
1985-10,249802
1985-11,250465
1985-12,277383
1986-01,262351
1986-02,236979
1986-03,260497
1986-04,245614
1986-05,248171
1986-06,257252
1986-07,275976
1986-08,304666
1986-09,259582
1986-10,275773
1986-11,266980
1986-12,297217
1987-01,284588
1987-02,273405
1987-03,293774
1987-04,287663
1987-05,291469
1987-06,283828
1987-07,342882
1987-08,353788
1987-09,302983
1987-10,315112
1987-11,307067
1987-12,342250
1988-01,328447
1988-02,312406
1988-03,347373
1988-04,331647
1988-05,318454
1988-06,319362
1988-07,377985
1988-08,388077
1988-09,341254
1988-10,365581
1988-11,361734
1988-12,393771
1989-01,380096
1989-02,353789
1989-03,404795
1989-04,375679
1989-05,362982
1989-06,367275
1989-07,435972
1989-08,443375
1989-09,406340
1989-10,423336
1989-11,425918
1989-12,450000
1990-01,432993
1990-02,424670
1990-03,445528
1990-04,430272
1990-05,409797
1990-06,409635
1990-07,474861
1990-08,492544
1990-09,427523
1990-10,435281
1990-11,448573
1990-12,488768
1991-01,432267
1991-02,363536
1991-03,403287
1991-04,418722
1991-05,411284
1991-06,445771
1991-07,494626
1991-08,519640
1991-09,459836
1991-10,472918
1991-11,473327
1991-12,519200
1992-01,485463
1992-02,500155
1992-03,478996
1992-04,485536
1992-05,449648
1992-06,472933
1992-07,548049
1992-08,547776
1992-09,486642
1992-10,488746
1992-11,498866
1992-12,547027
1993-01,514013
1993-02,485346
1993-03,547795
1993-04,501180
1993-05,491664
1993-06,524277
1993-07,583347
1993-08,608843
1993-09,504648
1993-10,533969
1993-11,537176
1993-12,593419
1994-01,549022
1994-02,527574
1994-03,626918
1994-04,540643
1994-05,509545
1994-06,531476
1994-07,642768
1994-08,664329
1994-09,551510
1994-10,564144
1994-11,569103
1994-12,621277
1995-01,575652
1995-02,556744
1995-03,619688
1995-04,548881
1995-05,535270
1995-06,549326
1995-07,676075
1995-08,688445
1995-09,583492
1995-10,588420
1995-11,589339
1995-12,625206
1996-01,599742
1996-02,595491
1996-03,641447
1996-04,584109
1996-05,551828
1996-06,586963
1996-07,651103
1996-08,655073
1996-09,548876
1996-10,600917
1996-11,599164
1996-12,677653
1997-01,612265
1997-02,634403
1997-03,657483
1997-04,595444
1997-05,582119
1997-06,607848
1997-07,692050
1997-08,645090
1997-09,564369
1997-10,495322
1997-11,535236
1997-12,576242
1998-01,509727
1998-02,497566
1998-03,519496
1998-04,491496
1998-05,548506
1998-06,487361
1998-07,556870
1998-08,569901
1998-09,482654
1998-10,498695
1998-11,506970
1998-12,572910
1999-01,570444
1999-02,517554
1999-03,580426
1999-04,524455
1999-05,558554
1999-06,575055
1999-07,629435
1999-08,629991
1999-09,557649
1999-10,604306
1999-11,594301
1999-12,616031
2000-01,637852
2000-02,601281
2000-03,640922
2000-04,636970
2000-05,595838
2000-06,609008
2000-07,707413
2000-08,695965
2000-09,612708
2000-10,636185
2000-11,625618
2000-12,691639
2001-01,658216
2001-02,592592
2001-03,665565
2001-04,613320
2001-05,605891
2001-06,609958
2001-07,714944
2001-08,693902
2001-09,593827
2001-10,569622
2001-11,534049
2001-12,670277
2002-01,596710
2002-02,598861
2002-03,655151
2002-04,622301
2002-05,606144
2002-06,601969
2002-07,679574
2002-08,671638
2002-09,597453
2002-10,638673
2002-11,588742
2002-12,709616
2003-01,641734
2003-02,613395
2003-03,559945
2003-04,203562
2003-05,177808
2003-06,316587
2003-07,540914
2003-08,602240
2003-09,556871
2003-10,586390
2003-11,635716
2003-12,691786
2004-01,651951
2004-02,591565
2004-03,626350
2004-04,653156
2004-05,660347
2004-06,687016
2004-07,802890
2004-08,746317
2004-09,658510
2004-10,696431
2004-11,752614
2004-12,801497
2005-01,668334
2005-02,627367
2005-03,732753
2005-04,702985
2005-05,709777
2005-06,747475
2005-07,877392
2005-08,811099
2005-09,705110
2005-10,745129
2005-11,786117
2005-12,829483
2006-01,767908
2006-02,728158
2006-03,819985
2006-04,816654
2006-05,766181
2006-06,788955
2006-07,914879
2006-08,870763
2006-09,715523
2006-10,857809
2006-11,800625
2006-12,903512
2007-01,825919
2007-02,758341
2007-03,858661
2007-04,819505
2007-05,821248
2007-06,850514
2007-07,952836
2007-08,913181
2007-09,771453
2007-10,917427
2007-11,841648
2007-12,953812
2008-01,885290
2008-02,813028
2008-03,910635
2008-04,829438
2008-05,833604
2008-06,822954
2008-07,922569
2008-08,850016
2008-09,745794
2008-10,849400
2008-11,765325
2008-12,888001
2009-01,772138
2009-02,689935
2009-03,791236
2009-04,778975
2009-05,726391
2009-06,750404
2009-07,882107
2009-08,844649
2009-09,799496
2009-10,844953
2009-11,830173
2009-12,972233
2010-01,908495
2010-02,857387
2010-03,928903
2010-04,939013
2010-05,946676
2010-06,951032
2010-07,1095047
2010-08,996899
2010-09,947585
2010-10,978913
2010-11,964170
2010-12,1127581
2011-01,1055990
2011-02,990118
2011-03,1071960
2011-04,1103320
2011-05,1054104
2011-06,1080066
2011-07,1273870
2011-08,1178511
2011-09,1033747
2011-10,1085193
2011-11,1027787
2011-12,1216637
2012-01,1198507
2012-02,1134554
2012-03,1243133
2012-04,1201953
2012-05,1146448
2012-06,1157739
2012-07,1283611
2012-08,1313604
2012-09,1051348
2012-10,1192580
2012-11,1212079
2012-12,1360536
2013-01,1291718
2013-02,1221365
2013-03,1368891
2013-04,1274246
2013-05,1288282
2013-06,1288950
2013-07,1419657
2013-08,1483520
2013-09,1176142
2013-10,1203746
2013-11,1184002
2013-12,1367404
2014-01,1345842
2014-02,1238239
2014-03,1297551
2014-04,1245307
2014-05,1208532
2014-06,1181422
2014-07,1408400
2014-08,1362935
2014-09,1098626
2014-10,1203527
2014-11,1144230
2014-12,1360541
2015-01,1252598
2015-02,1188818
2015-03,1201648
2015-04,1208621
2015-05,1222836
2015-06,1184744
2015-07,1519188
2015-08,1445052
2015-09,1131967
2015-10,1246706
2015-11,1193906